sembol,karar,giris_zaman,giris_fiyat,cikis_zaman,cikis_fiyat,getiri_%,nedenler
VANGD.IS,GÜÇLÜ AL,2026-08-14 15:09,99.44999694824219,2026-08-14 15:39,99.80000305175781,0.35,Hacim satış yönünde belirgin arttı
LRSHO.IS,AL,2026-08-14 15:39,2.890000104904175,2026-08-14 16:38,2.890000104904175,0.0,Hacim satış yönünde belirgin arttı
DESA.IS,AL,2026-08-14 16:38,10.449999809265137,2026-08-14 18:09,10.449999809265137,0.0,Hacim satış yönünde belirgin arttı
VANGD.IS,GÜÇLÜ AL,2026-08-14 16:38,99.80000305175781,2026-08-14 18:09,99.80000305175781,0.0,Hacim satış yönünde belirgin arttı
YAYLA.IS,AL,2026-08-14 16:38,23.18000030517578,2026-08-14 18:09,23.18000030517578,0.0,Hacim satış yönünde belirgin arttı
FMIZP.IS,GÜÇLÜ AL,2026-08-12 00:40,295.0,2026-08-17 09:25,295.75,0.25,MACD aşağı kesişim yaptı
ASTOR.IS,GÜÇLÜ AL,2026-08-12 11:36,319.5,2026-08-17 09:25,338.5,5.95,Hacim satış yönünde belirgin arttı
BFREN.IS,GÜÇLÜ AL,2026-08-12 12:36,132.39999389648438,2026-08-17 09:25,129.89999389648438,-1.89,MACD aşağı kesişim yaptı
SOKM.IS,AL,2026-08-12 12:36,52.25,2026-08-17 09:25,52.349998474121094,0.19,Hacim satış yönünde belirgin arttı
EUPWR.IS,AL,2026-08-13 10:46,96.0,2026-08-17 09:25,95.75,-0.26,Hacim satış yönünde belirgin arttı
AVGYO.IS,AL,2026-08-13 12:37,16.709999084472656,2026-08-17 09:25,17.93000030517578,7.3,Hacim satış yönünde belirgin arttı
KCAER.IS,AL,2026-08-13 12:37,15.829999923706055,2026-08-17 09:25,16.040000915527344,1.33,Hacim satış yönünde belirgin arttı
RALYH.IS,GÜÇLÜ AL,2026-08-13 12:37,247.89999389648438,2026-08-17 09:25,265.75,7.2,Hacim satış yönünde belirgin arttı
ARMGD.IS,AL,2026-08-13 15:34,204.3000030517578,2026-08-17 09:25,211.10000610351562,3.33,Hacim satış yönünde belirgin arttı
RNPOL.IS,GÜÇLÜ AL,2026-08-13 15:34,2.5,2026-08-17 09:25,2.509999990463257,0.4,Hacim satış yönünde belirgin arttı
